category,problem,group,Institution_name,Item,Supplier_name,Unit_price,Quantity,UOM,Date_order,Date_payments,pay_num,order_num,Id
Potential orders to investigate,Big spending on infrastructure by GDID,Refurbishment of existing Anglogold Ashante Mine Hospital,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - General related building services  (Level 37,38,43,42,41,40,39,46,45,47,48,49,50, and 51 on an emergency basis (Team C Higher level)",Makhado Project Management,0.0,0.00,Other UOM,,,0,118452735.52,20
Potential orders to investigate,Big spending on infrastructure by GDID,Refurbishment of existing Anglogold Ashante Mine Hospital,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - General related building services  (Level 4,5,6,7,8,9,10,11,31,32,33,34,35,36 and 44 on an emergency basis (Team B Higher level)",Diphatse Trading And Projects  / Mjr Trading And Services Pty Ltd,0.0,0.00,Other UOM,,,0,132227265.03,21
Potential orders to investigate,Big spending on infrastructure by GDID,Refurbishment of existing Anglogold Ashante Mine Hospital,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - Mechanical related services  Level 7,38,43,42,41,40,39,46,45,47,48,49,50, and 51 on an emergency basis (Team C Higher level)",Mvusuludzo  Projects Pty Ltd,0.0,0.00,Other UOM,,,0,48106489.63,22
Potential orders to investigate,Big spending on infrastructure by GDID,Refurbishment of existing Anglogold Ashante Mine Hospital,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - Mechanical related services Level 4,5,6,7,8,9,10,11,31,32,33,34,35,36 and 44 on an emergency basis (Team B Higher level)",Thenga Holdings Pty Ltd,0.0,0.00,Other UOM,,,0,49540108.2,23
Potential orders to investigate,Big spending on infrastructure by GDID,Refurbishment of existing Anglogold Ashante Mine Hospital,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients -General related building services  (Level 1,2,3,30,16,17,16,15,14,12 and 13 on emergency basis (Team A Higher level)",Yikusasa Building Contractors Sa Pty Ltd,0.0,0.00,Other UOM,,,0,89406591.58,24
Potential orders to investigate,Big spending on infrastructure by GDID,Refurbishment of existing Anglogold Ashante Mine Hospital,Gauteng - infrastructure development,"Infrastructure_Refurbishment of exististing Anglogold Ashante Mine Hospital to accommodated covid 19 patients  -Mechanical related services s at Anglogold Health Services (Level 1,2,3,30,16,17,16,15,14,12 and 13 on emergency basis (Team A Higher level)",Njr Projects,0.0,0.00,Other UOM,,,0,56808184.33,25
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Installation of medical points in ward 6 and 7 for Covid-19 patients care at Odi Hospital,Modipadi Nokaneng,0.0,0.00,Other UOM,2020-07-31,,0,1624988.64,26
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Emergency request to covert old icu to covid 19 isolation ward at Carletonville Hospital,Maabele Trading,0.0,0.00,Other UOM,2020-03-31,,0,2121362.1,27
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Supply and installation of new oxygen and vacuum points in the respiratory ward Covid -19 project at South Rand Hospital,Mosimudi Projects,0.0,0.00,Other UOM,2020-07-30,,0,345000.0,28
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Removal of old air handling units and supply , installation and commissioning of new air handling units at TB ward ( Covid -19 )",Advanced  Plasma Engineering,0.0,0.00,Other UOM,2020-07-28,,0,1456562.28,29
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Repairs and service to medical air compressors, medical gas banks and reticulation at Helen Joseph Hospita",Phindaveve Trading And Projects,0.0,0.00,Other UOM,2020-04-28,,0,1620600.0,30
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Installation of partitioning in cubicles and creation of shower at peads and creche department at Bertha Gxowa Hospital,Thato Ya Bogotsi Investment,0.0,0.00,Other UOM,2020-05-26,,0,537656.63,31
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_New installation of three(3) extractor fans and the replacement of one (1) chilled water pump and motor for ward 577 ( infection ward for Corona ),Agonamathata Air Condition And Projects,0.0,0.00,Other UOM,2020-05-26,,0,239084.3,32
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_service , repair and install nurses call system at covid 19 isolation wards at Kopanong Hospital",Xiluvari Trading Cc,0.0,0.00,Other UOM,2020-05-26,,0,497595.8,33
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Urgent additional work at ward 23 Covid high care,Lorato Barbara Wesi Trading Enterprise ( Lorbawes),0.0,0.00,Other UOM,2020-07-23,,0,937131.36,34
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Installation of additional medical points in the entire hospital for Covid -19 readiness at Pretoria West Hospital,Modipadi Nokaneng,0.0,0.00,Other UOM,2020-06-23,,0,3390969.54,35
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Supply , deliver and erect a new steel frame PVC tent-covid 19.2 Supply and install of wooden flooring , ramps, electricity and air conditioning in fever screening tents-covid 19 at Kopanong Hospital, Sebokeng Hospital, Bheki Mlangeni, Leratong Hospital,",Busachamone Trading Jv Hlophe Mabengu Business Enterprise,0.0,0.00,Other UOM,2020-09-21,,0,3998000.0,36
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Supply and install of additional fever tents complete with wooden flooring, ramps, electricity and air conditioning in fever of screening tents in Leratong Hospital, Yusuf Dadoo Hospital , Pretoria West Hospital,Odi Hospital, Jubilee Hospital, Bronkhorsts",Mphefhedzi Business Enterprise,0.0,0.00,Other UOM,2020-09-21,,0,3998000.0,37
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Installation of oxygen points in 2 tents ( Covid-19 ) at Tembisa Hospital,Crawsfor Engineering Projects,0.0,0.00,Other UOM,2020-07-21,,0,600000.0,38
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Supply and install medical gas points for Covid wards ( Emergency ) at Sebokeng Hospital,Lovers Refrigeration And Electrical Repairs,0.0,0.00,Other UOM,2020-07-21,,0,11701500.0,39
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Urgent request to renovate and convert ward 9 to Covid -19 ward at Dr Yusuf Dadoo,Bogart Building Construction,0.0,0.00,Other UOM,2020-05-21,,0,5134581.69,40
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Emergency request to conert MMC ward  to Covid 19 Quarantine ward at Dr Yusuf Dadoo,Kamoso Projects,0.0,0.00,Other UOM,2020-04-20,,0,2722513.26,41
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Supply and install new oxygen points for Covid-19 in ward  medical gas term contract at Dr Yusuf Dadoo Hospital,Ramoyadi Air Conditioning Jv Transtech Trading And Projects,0.0,0.00,Other UOM,2020-07-17,,0,443098.01,42
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Erecting tents and installation of wooden floor ( screening Covid-19 ) at Bertha Gxowa Hospital,3 Daughters Trading Enterprise,0.0,0.00,Other UOM,2020-06-17,,0,382219.75,43
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Emergency provision for isolation partitioning at Covid -19 designated areas at Thelle Mogoerane,Baphatsime Construction And Cleaning Projects,0.0,0.00,Other UOM,2020-05-08,,0,3896933.45,44
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Supply and Installation of O2 and LP medical air at Chris Hani Baragwanath Academic Hospital,Advanced  Plasma Engineering,0.0,0.00,Other UOM,2020-10-07,,0,3965000.0,45
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Merchanical refurbishmentnfor Covid-19 compliance at Tembisa Hospital,Sbio Electro Mechanical And Technical Services,0.0,0.00,Other UOM,2020-08-06,,0,3600000.0,46
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Painting outside mortuary, new toilet and showers, new entrance and prefab at Chris Hani Baragwanath Hospital",Kamoso Projects,0.0,0.00,Other UOM,2020-08-06,,0,2243524.65,47
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",Concor Construction,0.0,0.00,Other UOM,,,0,804285000.0,48
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",Condocor (Pty) Ltd,0.0,0.00,Other UOM,,,0,662322529.1,49
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Designed, Construction and Commissioning of Hospital Facility Consisting of 300 ICU bed units on Turn key basis",Shomang Contruction Cc,0.0,0.00,Other UOM,,,0,700772409.0,50
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Designed, Construction and Commissioning of Hospital Facility Consisting of 500 ICU bed units on Turn key basis",Enza Construction,0.0,0.00,Other UOM,,,0,1489850371.0,51
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Disaster Medical Centre for Covid 19,Mr. Craig Newman- Nasrec Expo Centre,0.0,0.00,Other UOM,,,0,0.0,52
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Procurement to establish Field hospital for hospital capabilities for Isolation covid Infrastructure,Mr. Craig Newman- Nasrec Expo Centre,0.0,0.00,Other UOM,,,0,0.0,53
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Provision of General Building work related at Discovery Hospital for a period of 4 months,Kokwane Holdings (Pty) Ltd,0.0,0.00,Other UOM,,,0,113753663.1,54
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Provision of General Building work related at DR. George Mukhari Hospital for a period of 4 months,Maziya General Services Cc,0.0,0.00,Other UOM,,,0,558018822.1,55
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Provision of General Building work related at Lanasia CHC for a period of 2 months,Qds Projects,0.0,0.00,Other UOM,,,0,104898396.4,56
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Provision of General Building work related at Tshwane District (Steve Biko Cluster) for a period of 3 months,Qds Projects,0.0,0.00,Other UOM,,,0,164286692.1,57
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - General related building services  (Level 37,38,43,42,41,40,39,46,45,47,48,49,50, and 51 on an emergency basis (Team C Higher level)",Makhado Project Management,0.0,0.00,Other UOM,,,0,355358206.6,58
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - General related building services  (Level 4,5,6,7,8,9,10,11,31,32,33,34,35,36 and 44 on an emergency basis (Team B Higher level)",Diphatse Trading And Projects  / Mjr Trading And Services Pty Ltd,0.0,0.00,Other UOM,,,0,396681795.1,59
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - Mechanical related services  Level 7,38,43,42,41,40,39,46,45,47,48,49,50, and 51 on an emergency basis (Team C Higher level)",Mvusuludzo  Projects Pty Ltd,0.0,0.00,Other UOM,,,0,144319468.9,60
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients - Mechanical related services Level 4,5,6,7,8,9,10,11,31,32,33,34,35,36 and 44 on an emergency basis (Team B Higher level)",Thenga Holdings Pty Ltd,0.0,0.00,Other UOM,,,0,148620324.6,61
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Refurbishment of existing Anglogold Ashante Mine Hospital to accommodate covid 19 patients -General related building services  (Level 1,2,3,30,16,17,16,15,14,12 and 13 on emergency basis (Team A Higher level)",Yikusasa Building Contractors Sa Pty Ltd,0.0,0.00,Other UOM,,,0,268219774.7,62
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Refurbishment of exististing Anglogold Ashante Mine Hospital to accommodated covid 19 patients  -Mechanical related services s at Anglogold Health Services (Level 1,2,3,30,16,17,16,15,14,12 and 13 on emergency basis (Team A Higher level)",Njr Projects,0.0,0.00,Other UOM,,,0,170424553.0,63
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Supply and install booster pumps and sterilization water at jojo in Lenasia South,Sks Business Solutions Cc,0.0,0.00,Other UOM,2020-02-04,,0,1995997.5,64
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Manufacture , design and supply , install a new 100% fresh air unit with ducting, hepa filters to make it a fully working installation at maternity, reception and service all split air conditioners at Lenasia South Chc",Zamaubuhle Trading Enterprise,0.0,0.00,Other UOM,2020-03-04,,0,9150000.0,65
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Repairs to oxygen ,nitrousnoxide, band medical gas reticulation, gas bank panels, medical air compressors and additional points at Lenasia Hospital",Modipadi Nokaneng,0.0,0.00,Other UOM,2020-03-04,,0,6570000.0,66
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Installation of additional medical points in the paeds icu to address Covid-19 influx,Mabu Construction Jv Mashalane,0.0,0.00,Other UOM,2020-04-04,,0,560000.0,67
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Emergency to supply Covid-19 tents with power supply at Charlotte Maxeke Johannesburg Hospital,Auboy Construction And Projects,0.0,0.00,Other UOM,2020-01-06,,0,221054.74,68
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Deep Cleaning of Kopanong Workshop,Tes Cleaning,140.0,84.00,25 Litre,,,11760,8820.0,69
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Emergency to supply Covid-19 tents with power supply at Charlotte Maxeke Johannesburg Hospital,Auboy Construction And Projects,0.0,0.00,Other UOM,2020-01-06,2021-02-25,109682,110527.37,70
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Insallation of counterglass for covid-19 at Springs Forensic Mortuary,Nomonde Patience Pty Ltd,0.0,0.00,Other UOM,2020-05-21,2020-10-12,184472,184471.5,71
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Deep Cleaning of Carletonville, 18 Rissik Street and Westhoven",Rebane Business Enterprise,25.02,7925.00,per m2,,,198420,132280.0,72
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_service , repair and install nurses call system at covid 19 isolation wards at Kopanong Hospital",Xiluvari Trading Cc,0.0,0.00,Other UOM,2020-05-26,2021-12-03,224282,248797.9,73
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Install glass partitioning and basin for Covid -19 prevention at Carletonville FPS,Pfukani Properties 102,0.0,0.00,Other UOM,2020-02-07,2020-03-12,229488,229488.0,74
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Disinfection  of Discoverers Building,Tes Cleaning,44.0,640.00,per m2,,,253568,359040.0,75
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Installation of additional medical points in the paeds icu to address Covid-19 influx,Mabu Construction Jv Mashalane,0.0,0.00,Other UOM,2020-04-04,2021-02-25,256082,280000.0,76
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Install aluminium door for Covid-19 Isolation room,Umbelebele Projects,0.0,0.00,Other UOM,2020-02-04,2020-12-23,282736,286750.62,77
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Deep Cleaning of Corner House,Tes Cleaning,75.0,3816.00,per m2,,,286200,190800.0,78
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Electrification of 4x donated Covid 19 tents at Sebokeng Hospital,Nkhupuko General Trading,0.0,0.00,Other UOM,2020-07-30,2020-12-23,293837,359718.0,79
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Installation of oxygen points in 2 tents ( Covid-19 ) at Tembisa Hospital,Crawsfor Engineering Projects,0.0,0.00,Other UOM,2020-07-21,2020-07-24,386486,300000.0,80
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Supply , deliver and erect a new steel frame PVC tent-covid 19.2 Supply and install of wooden flooring , ramps, electricity and air conditioning in fever screening tents-covid 19 at Kopanong Hospital, Sebokeng Hospital, Bheki Mlangeni, Leratong Hospital,",Busachamone Trading Jv Hlophe Mabengu Business Enterprise,0.0,0.00,Other UOM,2020-09-21,2021-03-26,390981,3998000.0,81
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Dusks Mask Various Sizes 2020 FFP2,Dalcy Enterprise,109.8,6000.00,Each,,,419948,439200.0,82
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Installation of oxygen and vacuum points in casualty fever clinic for Covid-19 readiness Kalfong Hospital,Fero Air,0.0,0.00,Other UOM,2020-07-21,2020-10-12,420502,420755.52,83
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Provision for Aluminium shopfront isolation partitioning at Covid wards in  Thelle Mogoerane,Hope And Sandile Construction,0.0,0.00,Other UOM,2020-03-06,2020-07-24,450000,450000.0,84
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Supply Infrared forehead thermometers,Mass Build,0.0,100 Thermometers,Other UOM,2020-09-04,2020-12-15,450938,450937.5,85
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Urgent additional work at ward 23 Covid high care,Lorato Barbara Wesi Trading Enterprise ( Lorbawes),0.0,0.00,Other UOM,2020-07-23,2021-02-25,461001,468565.68,86
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_New installation of three(3) extractor fans and the replacement of one (1) chilled water pump and motor for ward 577 ( infection ward for Corona ),Agonamathata Air Condition And Projects,0.0,0.00,Other UOM,2020-05-26,2020-02-12,465249,478168.6,87
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Repairs to old hospital mortuary for Covid-19 at Bertha Gxowa Hospital,Mvelasa Trading And Projects 36,0.0,0.00,Other UOM,2020-05-21,2020-03-12,491636,494937.0,88
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Converting triage to Covid assesment room at Bertha Gxowa Hospital,Ndawonga Trading And Projects Co-Operatives,0.0,0.00,Other UOM,2020-05-26,2020-09-23,553703,595853.2,89
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Deep Cleaning of Discoverers Workshop, Masakhane Workshop, Luandry, Pholosong and Chris Hani Barangwanath Hospital",Akena Trading And Projects,112.0,5059.00,per m2,,,651599,488697.0,90
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Deep Cleaning of 11 Diagonal Building, Sebokeng Hospital Workshop, Tembisa Hospital and Thelle Mogoerane",Mphotsentle Divine Projects,75.0,9145.00,per m2,,,686411,457607.0,91
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Solution hand rub sanitizer5L, Container Plastic with lid 550x350x185mm and Jug Measuring 5L capacity Plastic",Bruzar Consulting Engineers,0.0,0.00,Each,,,712629,712628.0,92
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_service , repair and install nurses call system at covid 19 isolation wards at Kopanong Hospital",Xiluvari Trading Cc,0.0,0.00,Other UOM,2020-05-26,2020-09-17,714062,497595.8,93
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Erecting tents and installation of wooden floor ( screening Covid-19 ) at Bertha Gxowa Hospital,3 Daughters Trading Enterprise,0.0,0.00,Other UOM,2020-06-17,2021-01-21,745844,764439.5,94
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,Infrastructure_Emergency converting a part portion of dining hall next to main kitchen in to ECG department,Gazello Trading,0.0,0.00,Other UOM,2020-05-15,2020-08-20,752531,1350000.0,95
Orders flagged by media,Data Mistake,GDID - miscalculation,Gauteng - infrastructure development,"Infrastructure_Supply and install of additional fever tents complete with wooden flooring, ramps, electricity and air conditioning in fever of screening tents in Leratong Hospital, Yusuf Dadoo Hospital , Pretoria West Hospital,Odi Hospital, Jubilee Hospital, Bronkhorsts",Mphefhedzi Business Enterprise,0.0,0.00,Other UOM,2020-09-21,2021-03-26,791348,3998000.0,96
